id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
0  28255  GN0523  D  N  29780  GN0256  D  
1  28295  GN0497  D  N  29825  GN0644  D  
4  28415  GN0209  D  N  29630  GN0658  D  
5  28420  NV6301  D  N  30725  NV3263  D  
12  28475  NV6779  D  N  29265  NV6738  D  
15  28550  NV6753  D  N  29295  NV6358  D  
18  28570  NV6317  D  N  29635  NV6540  D  
19  28575  NV6725  D  N  29300  NV6724  D  
22  28585  NV3278  D  N  29200  NV3446  D  
24  28605  NV6375  D  N  29340  NV6230  D  
28  28660  NV6241  D  N  29365  NV6376  D  
29  28670  NV3270  D  N  29285  NV3263  D  
30  28670  NV6319  D  N  29310  NV6734  D  
31  28680  GN0541  D  N  29200  GN0480  D  
32  28680  NV6405  D  N  29395  NV3280  D  
33  28685  GN0489  D  N  29250  GN0282  D  
36  28695  NV6763  D  N  29200  NV6748  D  
37  28705  GN0247  D  N  29215  GN0252  D  
38  28705  GN0645  D  N  29335  GN0478  D  
39  28710  GN0291  D  N  29280  GN0522  D  
41  28725  NV0747  D  N  29345  NV6446  D  
44  28735  NV6615  D  N  29305  NV6548  D  
45  28740  NV6557  D  N  29215  NV3286  D  
48  28755  GN0363  D  N  29340  GN0414  D  
49  28760  GN0455  D  N  29255  GN0234  D  
50  28760  NV3447  D  N  29360  NV6504  D  
51  28765  NV6471  D  N  29470  NV6656  D  
52  28770  NV3195  D  N  29345  NV6514  D  
53  28780  GN0643  D  N  29650  NV6722  D  
54  28795  GN0405  D  N  29365  GN0548  D  
249  28805  GN0657  D  N  29290  GN0454  D  
244  28810  GN0349  D  N  29750  GN0488  D  
246  28815  NV6723  D  N  29270  NV6708  D  
245  28815  GN0401  D  N  29310  GN0678  D  
250  28890  NV6487  D  N  29215  NV3615  D  
251  28895  GN0453  D  N  29355  GN0630  D  
276  29275  NV6700  D  N  29370  NV6700  D  
279  29315  *****  D  N  29365  GN0408  D  
281  29320  NV6697  D  N  29385  NV6612  D  
280  29320  NV6577  D  N  29390  NV6577  D  
282  29325  NV6645  D  N  29420  NV6644  D  
283  29325  NV6698  D  N  30095  NV6578  D  
285  29335  NV6684  D  N  29405  NV6684  D  
287  29350  GN0631  D  N  29400  *****  D  
