id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
11  28460  NV6253  D  N  29410  NV316  I  
16  28570  GN0237  D  N  29440  GN920  I  
20  28580  NV6549  D  N  29370  NV306  I  
25  28620  NV6495  D  N  29280  NV6154  I  
27  28640  NV6699  D  N  29335  NV336  I  
34  28685  NV6769  D  N  29315  NV612  I  
40  28710  GN0639  D  N  29350  GN912  I  
43  28730  NV6379  D  N  29390  NV872  I  
46  28750  GN0285  D  N  29365  GN936  I  
47  28750  NV3464  D  N  29415  NV6160  I  
277  29305  NV3992  D  N  29370  NV630  I  
284  29335  NV3620  D  N  29400  NV626  I  
288  29355  NV628  D  N  29435  NV628  I  
295  29380  GN0571  D  N  29655  GN966  I  
56  29400  NV6294  D  N  29560  NV3118  I  
58  29410  GN0411  D  N  29520  GN944  I  
60  29415  NV3120  D  N  29475  NV3120  I  
61  29415  NV632  D  N  29505  NV632  I  
65  29425  NV6731  D  N  29485  NV618  I  
66  29425  NV820  D  N  29495  NV820  I  
68  29430  NV858  D  N  29535  NV858  I  
74  29460  NV6785  D  N  29590  NV398  I  
84  29580  GN0201  D  N  29645  GN930  I  
89  29605  NV6735  D  N  29670  NV6198  I  
92  29630  GN932  D  N  29695  GN932  I  
104  29685  NV6711  D  N  29830  NV686  I  
116  29720  NV382  D  N  29815  NV382  I  
122  29745  NV302  D  N  29835  NV302  I  
130  29780  NV6377  D  N  29910  NV834  I  
133  29790  NV3702  D  N  29880  NV3702  I  
135  29795  NV304  D  N  29860  NV304  I  
140  29815  NV6717  D  N  29890  NV642  I  
144  29840  GN0299  D  N  29900  GN976  I  
153  29890  GN0461  D  N  29970  GN972  I  
168  29935  NV6663  D  N  30000  NV860  I  
181  29990  NV6753  D  N  30070  NV836  I  
187  30010  GN0237  D  N  30790  GN912  I  
200  30060  NV6495  D  N  30720  NV6154  I  
205  30070  NV6643  D  N  30120  NV392  I  
208  30075  NV6505  D  N  30810  NV668  I  
223  30125  NV3270  D  N  31000  NV3118  I  
229  30165  NV0747  D  N  30785  NV336  I  
235  30190  NV3464  D  N  30755  NV612  I  
237  30200  NV3447  D  N  30855  NV6160  I  
239  30205  NV6471  D  N  30860  NV6172  I  
