id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
11  28460  NV6253  D  N  29410  NV316  I  
16  28570  GN0237  D  N  29440  GN920  I  
20  28580  NV6549  D  N  29370  NV306  I  
25  28620  NV6495  D  N  29280  NV6154  I  
27  28640  NV6699  D  N  29335  NV336  I  
34  28685  NV6769  D  N  29315  NV612  I  
35  28690  GN945  I  N  29380  GN0476  D  
40  28710  GN0639  D  N  29350  GN912  I  
42  28730  NV617  I  N  29335  NV6616  D  
43  28730  NV6379  D  N  29390  NV872  I  
46  28750  GN0285  D  N  29365  GN936  I  
47  28750  NV3464  D  N  29415  NV6160  I  
247  28820  GN967  I  N  29330  GN0456  D  
254  29080  GN947  I  N  29415  GN0464  D  
262  29155  GN979  I  N  29230  GN0290  D  
265  29160  GN977  I  N  29425  GN0628  D  
270  29220  NV6157  I  N  29310  NV6762  D  
275  29225  NV393  I  N  29370  NV6576  D  
272  29235  GN969  I  N  29520  GN0492  D  
277  29305  NV3992  D  N  29370  NV630  I  
284  29335  NV3620  D  N  29400  NV626  I  
288  29355  NV628  D  N  29435  NV628  I  
295  29380  GN0571  D  N  29655  GN966  I  
298  29385  NV6163  I  N  29485  NV6390  D  
302  29390  NV837  I  N  29580  NV3194  D  
56  29400  NV6294  D  N  29560  NV3118  I  
58  29410  GN0411  D  N  29520  GN944  I  
60  29415  NV3120  D  N  29475  NV3120  I  
61  29415  NV632  D  N  29505  NV632  I  
65  29425  NV6731  D  N  29485  NV618  I  
66  29425  NV820  D  N  29495  NV820  I  
68  29430  NV858  D  N  29535  NV858  I  
71  29440  NV303  I  N  29550  NV303  D  
72  29445  NV643  I  N  29525  NV6732  D  
73  29460  NV305  I  N  29535  NV6316  D  
74  29460  NV6785  D  N  29590  NV398  I  
81  29545  NV3703  I  N  29635  NV3703  D  
84  29580  GN0201  D  N  29645  GN930  I  
88  29600  NV6155  I  N  29665  NV6494  D  
89  29605  NV6735  D  N  29670  NV6198  I  
92  29630  GN932  D  N  29695  GN932  I  
93  29630  NV383  I  N  29730  NV383  D  
99  29665  NV873  I  N  29740  NV6378  D  
98  29665  NV6171  I  N  29775  NV6742  D  
104  29685  NV6711  D  N  29830  NV686  I  
114  29715  NV629  I  N  29810  NV629  D  
116  29720  NV382  D  N  29815  NV382  I  
120  29735  NV641  I  N  29800  NV6736  D  
122  29745  NV302  D  N  29835  NV302  I  
124  29755  GN937  I  N  29820  GN0246  D  
125  29755  NV627  I  N  29955  NV3787  D  
130  29780  NV6377  D  N  29910  NV834  I  
132  29790  NV3197  I  N  29855  NV6726  D  
133  29790  NV3702  D  N  29880  NV3702  I  
135  29795  NV304  D  N  29860  NV304  I  
140  29815  NV6717  D  N  29890  NV642  I  
144  29840  GN0299  D  N  29900  GN976  I  
153  29890  GN0461  D  N  29970  GN972  I  
154  29895  NV3131  I  N  29985  NV3131  D  
156  29900  NV831  I  N  29975  NV831  D  
157  29905  NV615  I  N  30060  NV6312  D  
162  29925  NV399  I  N  29990  NV6784  D  
168  29935  NV6663  D  N  30000  NV860  I  
169  29935  NV859  I  N  30060  NV859  D  
171  29955  NV3119  I  N  30075  NV6297  D  
175  29970  NV6199  I  N  30090  NV3655  D  
178  29975  NV633  I  N  30065  NV633  D  
181  29990  NV6753  D  N  30070  NV836  I  
182  30000  GN939  I  N  30065  GN0300  D  
187  30010  GN0237  D  N  30790  GN912  I  
196  30030  NV6117  I  N  30780  NV6230  D  
200  30060  NV6495  D  N  30720  NV6154  I  
205  30070  NV6643  D  N  30120  NV392  I  
207  30075  GN933  I  N  30640  GN0480  D  
208  30075  NV6505  D  N  30810  NV668  I  
223  30125  NV3270  D  N  31000  NV3118  I  
229  30165  NV0747  D  N  30785  NV336  I  
230  30170  NV617  I  N  31280  NV3273  D  
235  30190  NV3464  D  N  30755  NV612  I  
237  30200  NV3447  D  N  30855  NV6160  I  
239  30205  NV6471  D  N  30860  NV6172  I  
