id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
7  28435  NV6489  D  W  28855  NV880  I  
10  28445  NV897  D  W  31020  NV662  I  
23  28590  NV6117  I  W  29405  NV866  D  
248  28825  NV6589  D  W  29545  NV810  I  
255  29095  NV675  I  W  29215  NV675  D  
286  29340  NV603  I  W  29425  NV603  D  
290  29360  NV698  D  W  29490  NV698  I  
83  29575  NV674  D  W  29665  NV674  I  
134  29790  NV663  I  W  30005  NV6588  D  
155  29900  NV6489  D  W  30040  NV658  I  
177  29970  NV699  I  W  30100  NV699  D  
