id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
35  28690  GN945  I  N  29380  GN0476  D  
42  28730  NV617  I  N  29335  NV6616  D  
247  28820  GN967  I  N  29330  GN0456  D  
254  29080  GN947  I  N  29415  GN0464  D  
262  29155  GN979  I  N  29230  GN0290  D  
265  29160  GN977  I  N  29425  GN0628  D  
270  29220  NV6157  I  N  29310  NV6762  D  
275  29225  NV393  I  N  29370  NV6576  D  
272  29235  GN969  I  N  29520  GN0492  D  
298  29385  NV6163  I  N  29485  NV6390  D  
302  29390  NV837  I  N  29580  NV3194  D  
71  29440  NV303  I  N  29550  NV303  D  
72  29445  NV643  I  N  29525  NV6732  D  
73  29460  NV305  I  N  29535  NV6316  D  
81  29545  NV3703  I  N  29635  NV3703  D  
88  29600  NV6155  I  N  29665  NV6494  D  
93  29630  NV383  I  N  29730  NV383  D  
99  29665  NV873  I  N  29740  NV6378  D  
98  29665  NV6171  I  N  29775  NV6742  D  
114  29715  NV629  I  N  29810  NV629  D  
120  29735  NV641  I  N  29800  NV6736  D  
124  29755  GN937  I  N  29820  GN0246  D  
125  29755  NV627  I  N  29955  NV3787  D  
132  29790  NV3197  I  N  29855  NV6726  D  
154  29895  NV3131  I  N  29985  NV3131  D  
156  29900  NV831  I  N  29975  NV831  D  
157  29905  NV615  I  N  30060  NV6312  D  
162  29925  NV399  I  N  29990  NV6784  D  
169  29935  NV859  I  N  30060  NV859  D  
171  29955  NV3119  I  N  30075  NV6297  D  
175  29970  NV6199  I  N  30090  NV3655  D  
178  29975  NV633  I  N  30065  NV633  D  
182  30000  GN939  I  N  30065  GN0300  D  
196  30030  NV6117  I  N  30780  NV6230  D  
207  30075  GN933  I  N  30640  GN0480  D  
230  30170  NV617  I  N  31280  NV3273  D  
