id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
17  28570  NV621  I  N  28910  NV322  I  
21  28585  NV317  I  N  28815  NV6134  I  
253  29065  NV625  I  N  29355  NV6152  I  
258  29120  NV871  I  N  29365  NV812  I  
268  29190  GN943  I  N  29360  GN996  I  
273  29240  GN973  I  N  29315  GN940  I  
278  29315  NV6135  I  N  29420  NV3196  I  
63  29420  NV323  I  N  29535  NV614  I  
64  29420  NV687  I  N  29535  NV6144  I  
77  29485  NV841  I  N  29595  NV610  I  
78  29520  NV835  I  N  29890  NV830  I  
90  29620  GN913  I  N  29685  GN938  I  
95  29640  NV6153  I  N  29745  NV6116  I  
106  29690  NV613  I  N  29775  NV616  I  
105  29690  GN953  I  N  29970  GN942  I  
117  29725  GN931  I  N  29820  GN980  I  
121  29740  GN965  I  N  29910  GN964  I  
127  29755  NV813  I  N  29850  NV6162  I  
137  29800  NV307  I  N  29855  NV638  I  
147  29850  NV619  I  N  29920  NV624  I  
146  29850  NV6145  I  N  30795  NV6152  I  
161  29920  GN941  I  N  29985  GN978  I  
164  29930  GN951  I  N  30000  GN968  I  
174  29960  NV337  I  N  30190  NV6156  I  
189  30010  NV621  I  N  30350  NV322  I  
194  30025  NV317  I  N  30255  NV6134  I  
212  30090  GN997  I  N  30150  GN952  I  
224  30130  GN945  I  N  30800  GN996  I  
