id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
55  27660  NV847  I  W  29660  NV690  I  
2  28350  NV663  I  W  29610  NV692  I  
3  28375  NV693  I  W  29580  NV662  I  
6  28430  NV697  I  W  28820  NV840  I  
8  28440  NV601  I  W  28805  NV664  I  
9  28445  NV821  I  W  28820  NV608  I  
13  28520  NV319  I  W  28805  NV846  I  
14  28530  NV673  I  W  28810  NV320  I  
26  28625  NV651  I  W  29550  NV898  I  
252  29050  NV677  I  W  29275  NV380  I  
256  29100  NV847  I  W  29600  NV694  I  
257  29115  NV309  I  W  29350  NV634  I  
259  29135  NV347  I  W  29530  NV346  I  
260  29140  NV655  I  W  30970  NV6118  I  
261  29145  NV891  I  W  30295  NV880  I  
264  29155  NV851  I  W  29500  NV828  I  
263  29155  NV343  I  W  29535  NV6118  I  
267  29185  NV689  I  W  29525  NV318  I  
266  29185  NV6181  I  W  29675  NV676  I  
269  29215  NV883  I  W  29580  NV640  I  
271  29220  NV665  I  W  29545  NV670  I  
274  29240  NV659  I  W  29840  NV682  I  
107  29690  NV681  I  W  29770  NV656  I  
111  29700  NV899  I  W  30020  NV672  I  
119  29730  NV657  I  W  29985  NV848  I  
131  29780  NV683  I  W  30715  NV380  I  
136  29795  NV635  I  W  30000  NV308  I  
141  29815  NV693  I  W  30255  NV882  I  
139  29815  NV391  I  W  31060  NV342  I  
143  29830  NV6119  I  W  30990  NV898  I  
150  29870  NV697  I  W  30060  NV688  I  
152  29880  NV601  I  W  30260  NV840  I  
166  29930  NV829  I  W  30245  NV664  I  
173  29960  NV319  I  W  30245  NV846  I  
176  29970  NV673  I  W  30250  NV320  I  
180  29980  NV849  I  W  30210  NV654  I  
185  30000  NV827  I  W  30115  NV826  I  
203  30065  NV651  I  W  30985  NV670  I  
214  30090  NV679  I  W  30800  NV678  I  
